,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,posting_month_name,is_senior,is_remote_friendly,is_llm_role,salary_tier,python_skill,cpp_skill,sql_skill,data_analysis_skill,cybersecurity_skill,statistics_skill,math_skill,nlp_skill,cv_skill,deep_learning_skill,ros_skill,cuda_skill,research_skill,comm_skill,leadership_skill
11,Prompt Engineer,AI Engineering,Mid (3-5 yrs),1,Master's,118000.0,90000,200000,Tokyo,Japan,Hybrid,Enterprise (5000+),Education,Documentation|Python|Prompt Design|Problem Solving,9.0,82,8.9,9.7,2025,3,March,No,Yes,Yes,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),8,Bootcamp/Self-taught,180000.0,180000,312000,Beijing,China,On-site,Startup (1-50),Retail,LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,15.2,96,32.4,7.5,2026,2,February,No,No,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
13,AI Solutions Architect,Architecture,Entry (0-2 yrs),15,Bootcamp/Self-taught,180000.0,180000,320000,Toronto,Canada,Fully Remote,Startup (1-50),Finance,System Design|Leadership|Cloud|Agile|Linux|Statistics,11.7,84,8.9,9.2,2026,3,March,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
14,AI Agent Developer,AI Engineering,Senior (6-9 yrs),3,Bachelor's,209000.0,155000,290000,Dubai,UAE,Hybrid,Startup (1-50),Consulting,Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,10.6,96,50.7,9.4,2026,1,January,Yes,Yes,Yes,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
15,AI Agent Developer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,155000.0,155000,290000,Amsterdam,Netherlands,Fully Remote,Mid-size (501-5000),Research,LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,13.5,96,75.9,8.2,2025,3,March,No,Yes,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16,ML Engineer,AI Engineering,Entry (0-2 yrs),6,PhD,120000.0,120000,280000,Paris,France,Fully Remote,Mid-size (501-5000),Healthcare,TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,8.2,97,68.8,7.3,2026,3,March,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
17,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),2,Bachelor's,162000.0,150000,295000,London,UK,On-site,Mid-size (501-5000),Consulting,GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,11.3,95,78.1,9.7,2025,11,November,No,No,Yes,Upper-Mid ($150-200k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
18,AI Security Engineer,Security,Senior (6-9 yrs),7,Bachelor's,228000.0,140000,260000,Sydney,Australia,Hybrid,Big Tech (FAANG+),Government,Risk Analysis|Python|Cybersecurity|Problem Solving,15.9,80,15.9,9.7,2025,10,October,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
19,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bachelor's,185000.0,141000,270000,Berlin,Germany,Hybrid,Startup (1-50),Consulting,Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,5.8,89,12.4,6.5,2026,2,February,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
20,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),3,Bootcamp/Self-taught,329000.0,160000,300000,Chicago,USA,On-site,Big Tech (FAANG+),Consulting,PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,12.7,90,27.5,9.0,2025,2,February,Yes,No,No,Elite (>$300k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
21,MLOps Engineer,ML Operations,Senior (6-9 yrs),9,Bachelor's,272000.0,130000,260000,Dubai,UAE,On-site,Big Tech (FAANG+),Technology,Monitoring|Docker|Kubernetes|MLflow|SQL,12.8,93,77.0,6.3,2026,3,March,Yes,No,No,Senior ($200-300k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
22,AI Business Analyst,Business,Lead (10+ yrs),7,Bootcamp/Self-taught,201000.0,95000,180000,Los Angeles,USA,On-site,Enterprise (5000+),Media,SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,16.5,78,16.4,9.0,2026,3,March,Yes,No,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
23,RAG Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,230000.0,145000,280000,Toronto,Canada,Fully Remote,Enterprise (5000+),Finance,Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,4.6,94,39.5,9.4,2025,3,March,Yes,Yes,Yes,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
24,NLP Engineer,AI Engineering,Mid (3-5 yrs),8,Bachelor's,145000.0,145000,290000,Sydney,Australia,Hybrid,SME (51-500),Manufacturing,LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,5.7,91,80.1,9.2,2026,3,March,No,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
25,Robotics Engineer (AI),Robotics,Lead (10+ yrs),10,Master's,125000.0,125000,240000,Beijing,China,Hybrid,SME (51-500),Energy,Computer Vision|C++|Simulation|Linux|Research|Problem Solving,17.1,76,19.8,8.5,2025,7,July,Yes,Yes,No,Mid ($100-150k),No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
26,Senior Data Scientist,Data Science,Entry (0-2 yrs),8,PhD,157000.0,157000,218000,Zurich,Switzerland,Fully Remote,SME (51-500),Technology,Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,3.4,90,28.8,6.9,2025,11,November,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes
27,ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bachelor's,224000.0,120000,280000,San Francisco,USA,Hybrid,SME (51-500),Energy,MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,15.5,97,23.4,9.1,2026,1,January,No,Yes,No,Senior ($200-300k),Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
28,AI Business Analyst,Business,Lead (10+ yrs),3,Bootcamp/Self-taught,216000.0,95000,180000,San Francisco,USA,Hybrid,Mid-size (501-5000),Manufacturing,Communication|Python|SQL|Agile|Git|SQL,14.6,78,6.7,8.5,2025,7,July,Yes,Yes,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
29,AI Ethics Officer,Governance,Senior (6-9 yrs),10,Bootcamp/Self-taught,208000.0,110000,210000,Boston,USA,Hybrid,Enterprise (5000+),Research,Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,11.2,72,11.1,9.6,2025,8,August,Yes,Yes,No,Senior ($200-300k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
30,NLP Engineer,AI Engineering,Lead (10+ yrs),8,PhD,348000.0,145000,290000,Zurich,Switzerland,On-site,Big Tech (FAANG+),Media,LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,9.6,91,21.2,8.7,2026,1,January,Yes,No,No,Elite (>$300k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),4,Bachelor's,285000.0,140000,270000,Remote,Global,Hybrid,Enterprise (5000+),Research,Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,11.5,85,16.3,7.2,2025,12,December,Yes,Yes,No,Senior ($200-300k),No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
32,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Master's,141000.0,141000,270000,Toronto,Canada,Hybrid,Startup (1-50),Healthcare,CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,8.0,89,8.2,6.2,2025,5,May,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No
33,AI Infrastructure Eng,Infrastructure,Entry (0-2 yrs),6,Bachelor's,160000.0,140000,270000,Austin,USA,Hybrid,Enterprise (5000+),Government,Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,13.8,85,22.2,6.6,2026,2,February,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
34,Senior ML Engineer,AI Engineering,Lead (10+ yrs),8,Associate's,223000.0,180000,312000,London,UK,Hybrid,Startup (1-50),Automotive,MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,10.6,96,20.9,6.9,2026,1,January,Yes,Yes,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
35,AI Engineer,AI Engineering,Lead (10+ yrs),4,PhD,221000.0,100000,250000,Amsterdam,Netherlands,Hybrid,Enterprise (5000+),Finance,Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,14.5,95,81.3,9.1,2025,3,March,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
36,MLOps Engineer,ML Operations,Senior (6-9 yrs),8,Bootcamp/Self-taught,130000.0,130000,260000,Beijing,China,Fully Remote,Big Tech (FAANG+),Technology,Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,15.3,93,59.1,6.1,2025,11,November,Yes,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,AI Business Analyst,Business,Senior (6-9 yrs),8,Associate's,95000.0,95000,180000,Bangalore,India,Hybrid,Startup (1-50),Government,Data Visualization|Communication|Python|Problem Solving,12.9,78,7.3,7.3,2025,11,November,Yes,Yes,No,Entry (<$100k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
38,Data Scientist,Data Science,Lead (10+ yrs),5,Bootcamp/Self-taught,198000.0,138000,195000,Chicago,USA,Fully Remote,Mid-size (501-5000),Government,Scikit-learn|Python|SQL|Statistics|Git,8.8,92,15.1,9.3,2026,1,January,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
39,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bootcamp/Self-taught,238000.0,141000,270000,Dubai,UAE,Hybrid,Mid-size (501-5000),Consulting,GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,4.7,89,9.0,8.1,2026,1,January,Yes,Yes,No,Senior ($200-300k),No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
40,NLP Engineer,AI Engineering,Entry (0-2 yrs),7,Master's,192000.0,145000,290000,Boston,USA,Hybrid,Enterprise (5000+),Energy,LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,9.2,91,78.1,7.0,2026,2,February,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
41,AI Product Manager,Product,Entry (0-2 yrs),10,PhD,149000.0,140000,260000,Dubai,UAE,Hybrid,Mid-size (501-5000),Media,Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,17.3,85,26.7,9.7,2025,7,July,No,Yes,No,Mid ($100-150k),No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
42,NLP Engineer,AI Engineering,Senior (6-9 yrs),9,Bootcamp/Self-taught,164000.0,145000,290000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Finance,Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,6.2,91,67.7,7.6,2026,1,January,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
43,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),6,Associate's,272000.0,180000,312000,Remote,Global,Hybrid,Mid-size (501-5000),Consulting,Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,10.9,96,31.6,6.3,2026,3,March,Yes,Yes,No,Senior ($200-300k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
44,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),3,PhD,275000.0,140000,270000,Boston,USA,Hybrid,Enterprise (5000+),Media,Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,14.8,85,9.5,6.7,2026,2,February,No,Yes,No,Senior ($200-300k),No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
45,RAG Engineer,AI Engineering,Mid (3-5 yrs),4,Master's,189000.0,145000,280000,London,UK,Fully Remote,Enterprise (5000+),Consulting,LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,7.8,94,48.3,7.1,2026,2,February,No,Yes,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
46,Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,146000.0,138000,195000,London,UK,Fully Remote,Enterprise (5000+),Energy,Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,4.5,92,28.9,7.0,2026,3,March,Yes,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
47,Multimodal AI Engineer,AI Engineering,Entry (0-2 yrs),3,PhD,180000.0,160000,300000,Austin,USA,Fully Remote,Startup (1-50),Healthcare,PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,16.8,90,14.1,7.9,2025,3,March,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
48,Computer Vision Engineer,AI Engineering,Senior (6-9 yrs),4,Bachelor's,234000.0,145000,280000,Remote,Global,On-site,Mid-size (501-5000),Media,OpenCV|CNNs|PyTorch|Python|SQL|Agile,5.6,87,23.7,7.0,2025,11,November,Yes,No,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
49,Data Engineer (AI),Data Engineering,Lead (10+ yrs),6,Bachelor's,240000.0,130000,220000,Boston,USA,On-site,SME (51-500),Healthcare,dbt|Spark|Python|Airflow|SQL|Cloud|Git,8.4,88,29.9,6.4,2025,9,September,Yes,No,No,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
50,Senior Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,169000.0,157000,218000,Sydney,Australia,Hybrid,Enterprise (5000+),Automotive,Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,9.7,90,26.4,6.4,2026,3,March,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
51,AI Agent Developer,AI Engineering,Lead (10+ yrs),2,PhD,257000.0,155000,290000,Singapore,Singapore,On-site,Startup (1-50),Automotive,Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,15.7,96,30.1,6.8,2026,2,February,Yes,No,Yes,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,AI Compliance Manager,Governance,Entry (0-2 yrs),5,PhD,188000.0,100000,200000,Austin,USA,On-site,Big Tech (FAANG+),Healthcare,Auditing|Documentation|EU AI Act|SQL,15.9,68,10.9,7.2,2025,1,January,No,No,No,Upper-Mid ($150-200k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
53,Senior Data Scientist,Data Science,Entry (0-2 yrs),10,Bachelor's,157000.0,157000,218000,Amsterdam,Netherlands,Hybrid,Big Tech (FAANG+),Education,ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,3.2,90,30.0,9.2,2026,1,January,No,Yes,No,Upper-Mid ($150-200k),No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
54,AI Ethics Officer,Governance,Entry (0-2 yrs),5,PhD,110000.0,110000,210000,Zurich,Switzerland,Hybrid,Startup (1-50),Media,Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,9.0,72,22.5,9.2,2026,3,March,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
55,Generative AI Engineer,AI Engineering,Lead (10+ yrs),8,Master's,354000.0,150000,295000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Consulting,Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,8.7,95,75.7,6.4,2025,12,December,Yes,Yes,Yes,Elite (>$300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
56,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),6,Associate's,160000.0,130000,220000,Austin,USA,Hybrid,Big Tech (FAANG+),Energy,Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,9.0,88,17.7,6.6,2026,1,January,No,Yes,No,Upper-Mid ($150-200k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
57,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),8,PhD,130000.0,130000,220000,Tokyo,Japan,Fully Remote,Mid-size (501-5000),Retail,ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,11.1,88,13.5,6.0,2026,3,March,No,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
58,Multimodal AI Engineer,AI Engineering,Mid (3-5 yrs),7,Bachelor's,160000.0,160000,300000,Sydney,Australia,Fully Remote,Startup (1-50),Retail,APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,15.8,90,19.2,6.3,2025,3,March,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
59,AI Compliance Manager,Governance,Entry (0-2 yrs),9,PhD,100000.0,100000,200000,Beijing,China,Hybrid,Startup (1-50),Finance,Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,9.1,68,22.0,8.3,2026,2,February,No,Yes,No,Entry (<$100k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
60,ML Engineer,AI Engineering,Entry (0-2 yrs),6,Bachelor's,120000.0,120000,280000,London,UK,Hybrid,Enterprise (5000+),Research,TensorFlow|SQL|Kubernetes|Python|Research,9.3,97,53.9,6.9,2026,3,March,No,Yes,No,Mid ($100-150k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
61,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),2,Bootcamp/Self-taught,130000.0,130000,220000,Seattle,USA,On-site,Enterprise (5000+),Government,dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,11.2,88,25.0,8.3,2026,2,February,No,No,No,Mid ($100-150k),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
62,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bootcamp/Self-taught,180000.0,180000,312000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Manufacturing,System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,17.6,96,62.1,6.6,2025,5,May,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
63,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Bachelor's,222000.0,141000,270000,Chicago,USA,Hybrid,Big Tech (FAANG+),Finance,GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,7.4,89,24.9,8.2,2025,2,February,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
64,MLOps Engineer,ML Operations,Entry (0-2 yrs),5,Bachelor's,131000.0,130000,260000,Zurich,Switzerland,Hybrid,Enterprise (5000+),Energy,Monitoring|Python|MLflow|Leadership|Cloud|Research,15.9,93,80.4,7.7,2026,3,March,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
65,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,247000.0,141000,270000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Education,Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,7.3,89,14.1,9.5,2025,6,June,Yes,Yes,No,Senior ($200-300k),Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
66,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),7,Bachelor's,160000.0,160000,300000,Beijing,China,On-site,Startup (1-50),Consulting,APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,11.5,90,29.2,8.7,2025,10,October,Yes,No,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
67,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),8,PhD,324000.0,140000,270000,Seattle,USA,On-site,Mid-size (501-5000),Retail,Networking|Distributed Systems|CUDA|Statistics,10.1,85,28.7,7.8,2025,3,March,Yes,No,No,Elite (>$300k),No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
68,Senior Data Scientist,Data Science,Entry (0-2 yrs),5,Associate's,157000.0,157000,218000,Seattle,USA,Fully Remote,Mid-size (501-5000),Healthcare,Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,3.3,90,14.1,8.7,2026,3,March,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
69,MLOps Engineer,ML Operations,Mid (3-5 yrs),9,PhD,191000.0,130000,260000,Zurich,Switzerland,Fully Remote,SME (51-500),Government,Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,16.2,93,73.5,6.5,2025,11,November,No,Yes,No,Upper-Mid ($150-200k),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
70,AI Ethics Officer,Governance,Entry (0-2 yrs),8,Associate's,126000.0,110000,210000,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,16.8,72,28.3,7.6,2025,6,June,No,Yes,No,Mid ($100-150k),No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
